Hourly measurement data supplied by UK-air on 21/12/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Sheffield Devonshire Green",
Latitude,,53.378622,,
Longitude,,-1.478096,,
Site Type,,Urban Background,,
Zone,,Yorkshire & Humberside,,
Agglomeration,,Sheffield Urban Area,,
Local Authority,,"Sheffield",,
Date,Time,"Nitrogen dioxide",Status
2023-01-01,01:00:00,18.88178,V ugm-3
2023-01-01,02:00:00,10.68551,V ugm-3
2023-01-01,03:00:00,9.56496,V ugm-3
2023-01-01,04:00:00,6.72161,V ugm-3
2023-01-01,05:00:00,5.63376,V ugm-3
2023-01-01,06:00:00,4.18541,V ugm-3
2023-01-01,07:00:00,3.56411,V ugm-3
2023-01-01,08:00:00,3.77012,V ugm-3
2023-01-01,09:00:00,3.92475,V ugm-3
2023-01-01,10:00:00,4.44187,V ugm-3
2023-01-01,11:00:00,5.99085,V ugm-3
2023-01-01,12:00:00,8.67852,V ugm-3
2023-01-01,13:00:00,6.71779,V ugm-3
2023-01-01,14:00:00,8.2154,V ugm-3
2023-01-01,15:00:00,9.24753,V ugm-3
2023-01-01,16:00:00,11.88146,V ugm-3
2023-01-01,17:00:00,11.00621,V ugm-3
2023-01-01,18:00:00,14.46521,V ugm-3
2023-01-01,19:00:00,16.94385,V ugm-3
2023-01-01,20:00:00,15.85706,V ugm-3
2023-01-01,21:00:00,27.84271,V ugm-3
2023-01-01,22:00:00,32.45381,V ugm-3
2023-01-01,23:00:00,13.84219,V ugm-3
2023-01-01,24:00:00,12.13687,V ugm-3
2023-01-02,01:00:00,10.33831,V ugm-3
2023-01-02,02:00:00,9.99377,V ugm-3
2023-01-02,03:00:00,8.1151,V ugm-3
2023-01-02,04:00:00,7.28756,V ugm-3
2023-01-02,05:00:00,6.56469,V ugm-3
2023-01-02,06:00:00,5.8922,V ugm-3
2023-01-02,07:00:00,6.56404,V ugm-3
2023-01-02,08:00:00,7.23562,V ugm-3
2023-01-02,09:00:00,9.51164,V ugm-3
2023-01-02,10:00:00,10.08012,V ugm-3
2023-01-02,11:00:00,10.75537,V ugm-3
2023-01-02,12:00:00,9.98252,V ugm-3
2023-01-02,13:00:00,10.13638,V ugm-3
2023-01-02,14:00:00,10.81202,V ugm-3
2023-01-02,15:00:00,16.13325,V ugm-3
2023-01-02,16:00:00,14.48249,V ugm-3
2023-01-02,17:00:00,45.51769,V ugm-3
2023-01-02,18:00:00,66.02045,V ugm-3
2023-01-02,19:00:00,59.83624,V ugm-3
2023-01-02,20:00:00,41.69636,V ugm-3
2023-01-02,21:00:00,41.97412,V ugm-3
2023-01-02,22:00:00,35.1437,V ugm-3
2023-01-02,23:00:00,28.0278,V ugm-3
2023-01-02,24:00:00,22.39139,V ugm-3
2023-01-03,01:00:00,16.7665,V ugm-3
2023-01-03,02:00:00,17.79967,V ugm-3
2023-01-03,03:00:00,22.0921,V ugm-3
2023-01-03,04:00:00,34.30411,V ugm-3
2023-01-03,05:00:00,30.16343,V ugm-3
2023-01-03,06:00:00,21.004,V ugm-3
2023-01-03,07:00:00,22.14539,V ugm-3
2023-01-03,08:00:00,31.31015,V ugm-3
2023-01-03,09:00:00,33.18223,V ugm-3
2023-01-03,10:00:00,25.36655,V ugm-3
2023-01-03,11:00:00,25.10258,V ugm-3
2023-01-03,12:00:00,39.72449,V ugm-3
2023-01-03,13:00:00,35.76861,V ugm-3
2023-01-03,14:00:00,26.34808,V ugm-3
2023-01-03,15:00:00,23.13602,V ugm-3
2023-01-03,16:00:00,19.87445,V ugm-3
2023-01-03,17:00:00,14.75225,V ugm-3
2023-01-03,18:00:00,14.38899,V ugm-3
2023-01-03,19:00:00,11.48964,V ugm-3
2023-01-03,20:00:00,11.90346,V ugm-3
2023-01-03,21:00:00,8.0222,V ugm-3
2023-01-03,22:00:00,6.57253,V ugm-3
2023-01-03,23:00:00,4.14107,V ugm-3
2023-01-03,24:00:00,3.51943,V ugm-3
2023-01-04,01:00:00,3.45391,V ugm-3
2023-01-04,02:00:00,4.14424,V ugm-3
2023-01-04,03:00:00,3.3668,V ugm-3
2023-01-04,04:00:00,3.31515,V ugm-3
2023-01-04,05:00:00,3.10702,V ugm-3
2023-01-04,06:00:00,3.52122,V ugm-3
2023-01-04,07:00:00,5.4378,V ugm-3
2023-01-04,08:00:00,6.32017,V ugm-3
2023-01-04,09:00:00,5.64697,V ugm-3
2023-01-04,10:00:00,5.59532,V ugm-3
2023-01-04,11:00:00,5.80333,V ugm-3
2023-01-04,12:00:00,No data,V ugm-3
2023-01-04,13:00:00,No data,V ugm-3
2023-01-04,14:00:00,5.39003,V ugm-3
2023-01-04,15:00:00,5.80488,V ugm-3
2023-01-04,16:00:00,8.28995,V ugm-3
2023-01-04,17:00:00,9.68839,V ugm-3
2023-01-04,18:00:00,9.48258,V ugm-3
2023-01-04,19:00:00,7.51216,V ugm-3
2023-01-04,20:00:00,6.73553,V ugm-3
2023-01-04,21:00:00,5.75026,V ugm-3
2023-01-04,22:00:00,4.71437,V ugm-3
2023-01-04,23:00:00,7.25458,V ugm-3
2023-01-04,24:00:00,5.49112,V ugm-3
2023-01-05,01:00:00,4.76903,V ugm-3
2023-01-05,02:00:00,5.80565,V ugm-3
2023-01-05,03:00:00,5.08091,V ugm-3
2023-01-05,04:00:00,3.99148,V ugm-3
2023-01-05,05:00:00,4.87195,V ugm-3
2023-01-05,06:00:00,8.34688,V ugm-3
2023-01-05,07:00:00,11.04216,V ugm-3
2023-01-05,08:00:00,17.2656,V ugm-3
2023-01-05,09:00:00,29.8722,V ugm-3
2023-01-05,10:00:00,30.23521,V ugm-3
2023-01-05,11:00:00,28.32138,V ugm-3
2023-01-05,12:00:00,24.95087,V ugm-3
2023-01-05,13:00:00,26.34429,V ugm-3
2023-01-05,14:00:00,32.8815,V ugm-3
2023-01-05,15:00:00,27.23003,V ugm-3
2023-01-05,16:00:00,22.29546,V ugm-3
2023-01-05,17:00:00,18.09746,V ugm-3
2023-01-05,18:00:00,13.122,V ugm-3
2023-01-05,19:00:00,12.03051,V ugm-3
2023-01-05,20:00:00,10.21428,V ugm-3
2023-01-05,21:00:00,7.41523,V ugm-3
2023-01-05,22:00:00,6.37981,V ugm-3
2023-01-05,23:00:00,5.34041,V ugm-3
2023-01-05,24:00:00,5.23625,V ugm-3
2023-01-06,01:00:00,4.70542,V ugm-3
2023-01-06,02:00:00,6.64325,V ugm-3
2023-01-06,03:00:00,4.41315,V ugm-3
2023-01-06,04:00:00,2.75012,V ugm-3
2023-01-06,05:00:00,2.43788,V ugm-3
2023-01-06,06:00:00,3.06045,V ugm-3
2023-01-06,07:00:00,5.39574,V ugm-3
2023-01-06,08:00:00,16.8154,V ugm-3
2023-01-06,09:00:00,29.16297,V ugm-3
2023-01-06,10:00:00,16.66056,V ugm-3
2023-01-06,11:00:00,12.40647,V ugm-3
2023-01-06,12:00:00,10.90097,V ugm-3
2023-01-06,13:00:00,13.2903,V ugm-3
2023-01-06,14:00:00,17.49329,V ugm-3
2023-01-06,15:00:00,20.19154,V ugm-3
2023-01-06,16:00:00,26.93743,V ugm-3
2023-01-06,17:00:00,29.1134,V ugm-3
2023-01-06,18:00:00,32.5897,V ugm-3
2023-01-06,19:00:00,33.62914,V ugm-3
2023-01-06,20:00:00,28.38876,V ugm-3
2023-01-06,21:00:00,32.27963,V ugm-3
2023-01-06,22:00:00,31.4547,V ugm-3
2023-01-06,23:00:00,17.44001,V ugm-3
2023-01-06,24:00:00,9.2419,V ugm-3
2023-01-07,01:00:00,8.66184,V ugm-3
2023-01-07,02:00:00,7.48404,V ugm-3
2023-01-07,03:00:00,6.59933,V ugm-3
2023-01-07,04:00:00,5.50742,V ugm-3
2023-01-07,05:00:00,4.05081,V ugm-3
2023-01-07,06:00:00,3.99851,V ugm-3
2023-01-07,07:00:00,4.77727,V ugm-3
2023-01-07,08:00:00,7.3221,V ugm-3
2023-01-07,09:00:00,7.84255,V ugm-3
2023-01-07,10:00:00,11.3224,V ugm-3
2023-01-07,11:00:00,11.63365,V ugm-3
2023-01-07,12:00:00,10.49325,V ugm-3
2023-01-07,13:00:00,10.55037,V ugm-3
2023-01-07,14:00:00,11.43233,V ugm-3
2023-01-07,15:00:00,16.26381,V ugm-3
2023-01-07,16:00:00,22.54528,V ugm-3
2023-01-07,17:00:00,29.35253,V ugm-3
2023-01-07,18:00:00,15.32815,V ugm-3
2023-01-07,19:00:00,11.1763,V ugm-3
2023-01-07,20:00:00,9.9878,V ugm-3
2023-01-07,21:00:00,8.72997,V ugm-3
2023-01-07,22:00:00,13.51067,V ugm-3
2023-01-07,23:00:00,6.85904,V ugm-3
2023-01-07,24:00:00,6.18742,V ugm-3
2023-01-08,01:00:00,5.41223,V ugm-3
2023-01-08,02:00:00,9.16093,V ugm-3
2023-01-08,03:00:00,7.96637,V ugm-3
2023-01-08,04:00:00,5.82875,V ugm-3
2023-01-08,05:00:00,3.58733,V ugm-3
2023-01-08,06:00:00,3.17085,V ugm-3
2023-01-08,07:00:00,3.58632,V ugm-3
2023-01-08,08:00:00,5.35337,V ugm-3
2023-01-08,09:00:00,9.82283,V ugm-3
2023-01-08,10:00:00,9.87681,V ugm-3
2023-01-08,11:00:00,13.87973,V ugm-3
2023-01-08,12:00:00,15.59797,V ugm-3
2023-01-08,13:00:00,18.72203,V ugm-3
2023-01-08,14:00:00,12.01355,V ugm-3
2023-01-08,15:00:00,8.78896,V ugm-3
2023-01-08,16:00:00,11.64639,V ugm-3
2023-01-08,17:00:00,12.53736,V ugm-3
2023-01-08,18:00:00,18.24829,V ugm-3
2023-01-08,19:00:00,15.85956,V ugm-3
2023-01-08,20:00:00,21.9953,V ugm-3
2023-01-08,21:00:00,20.173,V ugm-3
2023-01-08,22:00:00,13.82852,V ugm-3
2023-01-08,23:00:00,7.95437,V ugm-3
2023-01-08,24:00:00,7.06984,V ugm-3
2023-01-09,01:00:00,12.62392,V ugm-3
2023-01-09,02:00:00,9.3645,V ugm-3
2023-01-09,03:00:00,9.67624,V ugm-3
2023-01-09,04:00:00,4.68158,V ugm-3
2023-01-09,05:00:00,5.30535,V ugm-3
2023-01-09,06:00:00,6.13804,V ugm-3
2023-01-09,07:00:00,6.55502,V ugm-3
2023-01-09,08:00:00,14.15379,V ugm-3
2023-01-09,09:00:00,29.03839,V ugm-3
2023-01-09,10:00:00,19.51266,V ugm-3
2023-01-09,11:00:00,18.93927,V ugm-3
2023-01-09,12:00:00,11.86677,V ugm-3
2023-01-09,13:00:00,9.47422,V ugm-3
2023-01-09,14:00:00,10.20164,V ugm-3
2023-01-09,15:00:00,12.5428,V ugm-3
2023-01-09,16:00:00,12.69846,V ugm-3
2023-01-09,17:00:00,12.28048,V ugm-3
2023-01-09,18:00:00,13.63719,V ugm-3
2023-01-09,19:00:00,8.74229,V ugm-3
2023-01-09,20:00:00,8.68977,V ugm-3
2023-01-09,21:00:00,10.09359,V ugm-3
2023-01-09,22:00:00,7.12828,V ugm-3
2023-01-09,23:00:00,5.30748,V ugm-3
2023-01-09,24:00:00,5.0478,V ugm-3
2023-01-10,01:00:00,5.27735,V ugm-3
2023-01-10,02:00:00,8.95738,V ugm-3
2023-01-10,03:00:00,6.35449,V ugm-3
2023-01-10,04:00:00,6.87646,V ugm-3
2023-01-10,05:00:00,5.25925,V ugm-3
2023-01-10,06:00:00,12.3397,V ugm-3
2023-01-10,07:00:00,13.12209,V ugm-3
2023-01-10,08:00:00,14.53106,V ugm-3
2023-01-10,09:00:00,25.83856,V ugm-3
2023-01-10,10:00:00,33.28605,V ugm-3
2023-01-10,11:00:00,23.38665,V ugm-3
2023-01-10,12:00:00,20.31565,V ugm-3
2023-01-10,13:00:00,18.07659,V ugm-3
2023-01-10,14:00:00,14.43281,V ugm-3
2023-01-10,15:00:00,9.79528,V ugm-3
2023-01-10,16:00:00,8.33924,V ugm-3
2023-01-10,17:00:00,7.55685,V ugm-3
2023-01-10,18:00:00,7.66209,V ugm-3
2023-01-10,19:00:00,6.98557,V ugm-3
2023-01-10,20:00:00,6.46023,V ugm-3
2023-01-10,21:00:00,5.46886,V ugm-3
2023-01-10,22:00:00,5.31256,V ugm-3
2023-01-10,23:00:00,5.20944,V ugm-3
2023-01-10,24:00:00,5.9907,V ugm-3
2023-01-11,01:00:00,4.44876,V ugm-3
2023-01-11,02:00:00,7.85341,V ugm-3
2023-01-11,03:00:00,4.53528,V ugm-3
2023-01-11,04:00:00,3.17963,V ugm-3
2023-01-11,05:00:00,2.7103,V ugm-3
2023-01-11,06:00:00,3.17938,V ugm-3
2023-01-11,07:00:00,4.79593,V ugm-3
2023-01-11,08:00:00,9.07105,V ugm-3
2023-01-11,09:00:00,13.40038,V ugm-3
2023-01-11,10:00:00,13.08687,V ugm-3
2023-01-11,11:00:00,11.47082,V ugm-3
2023-01-11,12:00:00,10.74492,V ugm-3
2023-01-11,13:00:00,10.48252,V ugm-3
2023-01-11,14:00:00,11.78966,V ugm-3
2023-01-11,15:00:00,9.80675,V ugm-3
2023-01-11,16:00:00,10.27186,V ugm-3
2023-01-11,17:00:00,9.80154,V ugm-3
2023-01-11,18:00:00,12.41209,V ugm-3
2023-01-11,19:00:00,12.19746,V ugm-3
2023-01-11,20:00:00,17.66917,V ugm-3
2023-01-11,21:00:00,16.68162,V ugm-3
2023-01-11,22:00:00,13.24146,V ugm-3
2023-01-11,23:00:00,14.96421,V ugm-3
2023-01-11,24:00:00,6.20617,V ugm-3
2023-01-12,01:00:00,6.26245,V ugm-3
2023-01-12,02:00:00,2.99182,V ugm-3
2023-01-12,03:00:00,2.34793,V ugm-3
2023-01-12,04:00:00,2.71276,V ugm-3
2023-01-12,05:00:00,3.07772,V ugm-3
2023-01-12,06:00:00,4.48625,V ugm-3
2023-01-12,07:00:00,23.73892,V ugm-3
2023-01-12,08:00:00,32.76271,V ugm-3
2023-01-12,09:00:00,43.83999,V ugm-3
