Hourly measurement data supplied by UK-air on 21/12/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Sheffield Devonshire Green",
Latitude,,53.378622,,
Longitude,,-1.478096,,
Site Type,,Urban Background,,
Zone,,Yorkshire & Humberside,,
Agglomeration,,Sheffield Urban Area,,
Local Authority,,"Sheffield",,
Date,Time,"Nitrogen dioxide",Status
2020-01-01,01:00:00,28.07566,V ugm-3
2020-01-01,02:00:00,41.93712,V ugm-3
2020-01-01,03:00:00,41.84531,V ugm-3
2020-01-01,04:00:00,42.61565,V ugm-3
2020-01-01,05:00:00,27.43039,V ugm-3
2020-01-01,06:00:00,15.27232,V ugm-3
2020-01-01,07:00:00,11.38915,V ugm-3
2020-01-01,08:00:00,13.32895,V ugm-3
2020-01-01,09:00:00,20.44495,V ugm-3
2020-01-01,10:00:00,25.65705,V ugm-3
2020-01-01,11:00:00,21.13143,V ugm-3
2020-01-01,12:00:00,16.10012,V ugm-3
2020-01-01,13:00:00,16.35214,V ugm-3
2020-01-01,14:00:00,17.96864,V ugm-3
2020-01-01,15:00:00,20.34148,V ugm-3
2020-01-01,16:00:00,18.8295,V ugm-3
2020-01-01,17:00:00,20.37306,V ugm-3
2020-01-01,18:00:00,18.9769,V ugm-3
2020-01-01,19:00:00,24.36486,V ugm-3
2020-01-01,20:00:00,17.75236,V ugm-3
2020-01-01,21:00:00,18.00433,V ugm-3
2020-01-01,22:00:00,19.18971,V ugm-3
2020-01-01,23:00:00,17.10618,V ugm-3
2020-01-01,24:00:00,14.26604,V ugm-3
2020-01-02,01:00:00,9.81442,V ugm-3
2020-01-02,02:00:00,6.79748,V ugm-3
2020-01-02,03:00:00,4.34422,V ugm-3
2020-01-02,04:00:00,3.94944,V ugm-3
2020-01-02,05:00:00,4.41613,V ugm-3
2020-01-02,06:00:00,6.10321,V ugm-3
2020-01-02,07:00:00,7.68335,V ugm-3
2020-01-02,08:00:00,11.88806,V ugm-3
2020-01-02,09:00:00,14.32961,V ugm-3
2020-01-02,10:00:00,11.77992,V ugm-3
2020-01-02,11:00:00,8.94479,V ugm-3
2020-01-02,12:00:00,10.55975,V ugm-3
2020-01-02,13:00:00,11.2786,V ugm-3
2020-01-02,14:00:00,11.02706,V ugm-3
2020-01-02,15:00:00,11.34988,V ugm-3
2020-01-02,16:00:00,20.4335,V ugm-3
2020-01-02,17:00:00,21.58205,V ugm-3
2020-01-02,18:00:00,17.23789,V ugm-3
2020-01-02,19:00:00,14.86699,V ugm-3
2020-01-02,20:00:00,11.3501,V ugm-3
2020-01-02,21:00:00,9.26721,V ugm-3
2020-01-02,22:00:00,8.54916,V ugm-3
2020-01-02,23:00:00,6.78932,V ugm-3
2020-01-02,24:00:00,5.9262,V ugm-3
2020-01-03,01:00:00,6.79493,V ugm-3
2020-01-03,02:00:00,7.60833,V ugm-3
2020-01-03,03:00:00,6.17186,V ugm-3
2020-01-03,04:00:00,9.47337,V ugm-3
2020-01-03,05:00:00,5.5257,V ugm-3
2020-01-03,06:00:00,4.9871,V ugm-3
2020-01-03,07:00:00,4.95123,V ugm-3
2020-01-03,08:00:00,7.57,V ugm-3
2020-01-03,09:00:00,10.4407,V ugm-3
2020-01-03,10:00:00,10.94313,V ugm-3
2020-01-03,11:00:00,13.13264,V ugm-3
2020-01-03,12:00:00,14.96469,V ugm-3
2020-01-03,13:00:00,17.8364,V ugm-3
2020-01-03,14:00:00,14.24631,V ugm-3
2020-01-03,15:00:00,12.3803,V ugm-3
2020-01-03,16:00:00,17.50927,V ugm-3
2020-01-03,17:00:00,12.88112,V ugm-3
2020-01-03,18:00:00,13.16762,V ugm-3
2020-01-03,19:00:00,12.62949,V ugm-3
2020-01-03,20:00:00,10.44082,V ugm-3
2020-01-03,21:00:00,10.54879,V ugm-3
2020-01-03,22:00:00,9.90269,V ugm-3
2020-01-03,23:00:00,10.98156,V ugm-3
2020-01-03,24:00:00,9.2964,V ugm-3
2020-01-04,01:00:00,8.99376,V ugm-3
2020-01-04,02:00:00,10.2833,V ugm-3
2020-01-04,03:00:00,9.47343,V ugm-3
2020-01-04,04:00:00,9.32619,V ugm-3
2020-01-04,05:00:00,6.16698,V ugm-3
2020-01-04,06:00:00,5.44953,V ugm-3
2020-01-04,07:00:00,5.37808,V ugm-3
2020-01-04,08:00:00,7.17048,V ugm-3
2020-01-04,09:00:00,7.67266,V ugm-3
2020-01-04,10:00:00,11.00839,V ugm-3
2020-01-04,11:00:00,9.68195,V ugm-3
2020-01-04,12:00:00,8.96487,V ugm-3
2020-01-04,13:00:00,10.40027,V ugm-3
2020-01-04,14:00:00,9.71891,V ugm-3
2020-01-04,15:00:00,11.08095,V ugm-3
2020-01-04,16:00:00,13.12423,V ugm-3
2020-01-04,17:00:00,18.03659,V ugm-3
2020-01-04,18:00:00,19.15172,V ugm-3
2020-01-04,19:00:00,23.27475,V ugm-3
2020-01-04,20:00:00,23.09569,V ugm-3
2020-01-04,21:00:00,26.25249,V ugm-3
2020-01-04,22:00:00,19.44061,V ugm-3
2020-01-04,23:00:00,17.1451,V ugm-3
2020-01-04,24:00:00,24.57438,V ugm-3
2020-01-05,01:00:00,32.17432,V ugm-3
2020-01-05,02:00:00,17.54263,V ugm-3
2020-01-05,03:00:00,20.6179,V ugm-3
2020-01-05,04:00:00,20.97351,V ugm-3
2020-01-05,05:00:00,11.14525,V ugm-3
2020-01-05,06:00:00,7.95496,V ugm-3
2020-01-05,07:00:00,7.346,V ugm-3
2020-01-05,08:00:00,7.5248,V ugm-3
2020-01-05,09:00:00,7.99149,V ugm-3
2020-01-05,10:00:00,9.99814,V ugm-3
2020-01-05,11:00:00,11.64699,V ugm-3
2020-01-05,12:00:00,9.35464,V ugm-3
2020-01-05,13:00:00,13.15633,V ugm-3
2020-01-05,14:00:00,15.30847,V ugm-3
2020-01-05,15:00:00,14.73405,V ugm-3
2020-01-05,16:00:00,12.22321,V ugm-3
2020-01-05,17:00:00,18.7853,V ugm-3
2020-01-05,18:00:00,15.2704,V ugm-3
2020-01-05,19:00:00,12.83159,V ugm-3
2020-01-05,20:00:00,11.46934,V ugm-3
2020-01-05,21:00:00,8.81611,V ugm-3
2020-01-05,22:00:00,9.39014,V ugm-3
2020-01-05,23:00:00,9.53473,V ugm-3
2020-01-05,24:00:00,5.37588,V ugm-3
2020-01-06,01:00:00,7.16431,V ugm-3
2020-01-06,02:00:00,5.68183,V ugm-3
2020-01-06,03:00:00,5.33583,V ugm-3
2020-01-06,04:00:00,4.08276,V ugm-3
2020-01-06,05:00:00,4.47645,V ugm-3
2020-01-06,06:00:00,5.01454,V ugm-3
2020-01-06,07:00:00,8.23739,V ugm-3
2020-01-06,08:00:00,13.46974,V ugm-3
2020-01-06,09:00:00,19.27792,V ugm-3
2020-01-06,10:00:00,20.53325,V ugm-3
2020-01-06,11:00:00,17.70004,V ugm-3
2020-01-06,12:00:00,16.12202,V ugm-3
2020-01-06,13:00:00,17.19495,V ugm-3
2020-01-06,14:00:00,18.41321,V ugm-3
2020-01-06,15:00:00,17.94792,V ugm-3
2020-01-06,16:00:00,16.91119,V ugm-3
2020-01-06,17:00:00,15.54825,V ugm-3
2020-01-06,18:00:00,14.21912,V ugm-3
2020-01-06,19:00:00,14.21885,V ugm-3
2020-01-06,20:00:00,16.83133,V ugm-3
2020-01-06,21:00:00,14.25259,V ugm-3
2020-01-06,22:00:00,16.9036,V ugm-3
2020-01-06,23:00:00,14.14545,V ugm-3
2020-01-06,24:00:00,16.7954,V ugm-3
2020-01-07,01:00:00,17.60904,V ugm-3
2020-01-07,02:00:00,25.45163,V ugm-3
2020-01-07,03:00:00,34.69697,V ugm-3
2020-01-07,04:00:00,19.97011,V ugm-3
2020-01-07,05:00:00,12.77598,V ugm-3
2020-01-07,06:00:00,8.19531,V ugm-3
2020-01-07,07:00:00,11.84601,V ugm-3
2020-01-07,08:00:00,17.14736,V ugm-3
2020-01-07,09:00:00,27.71021,V ugm-3
2020-01-07,10:00:00,22.70502,V ugm-3
2020-01-07,11:00:00,24.14004,V ugm-3
2020-01-07,12:00:00,28.49818,V ugm-3
2020-01-07,13:00:00,20.73035,V ugm-3
2020-01-07,14:00:00,22.05424,V ugm-3
2020-01-07,15:00:00,22.26775,V ugm-3
2020-01-07,16:00:00,17.58008,V ugm-3
2020-01-07,17:00:00,17.11544,V ugm-3
2020-01-07,18:00:00,15.50497,V ugm-3
2020-01-07,19:00:00,12.42474,V ugm-3
2020-01-07,20:00:00,8.26928,V ugm-3
2020-01-07,21:00:00,7.9481,V ugm-3
2020-01-07,22:00:00,7.91287,V ugm-3
2020-01-07,23:00:00,5.87168,V ugm-3
2020-01-07,24:00:00,4.40405,V ugm-3
2020-01-08,01:00:00,7.48861,V ugm-3
2020-01-08,02:00:00,8.34742,V ugm-3
2020-01-08,03:00:00,7.36764,V ugm-3
2020-01-08,04:00:00,7.40326,V ugm-3
2020-01-08,05:00:00,7.4034,V ugm-3
2020-01-08,06:00:00,8.08212,V ugm-3
2020-01-08,07:00:00,10.12099,V ugm-3
2020-01-08,08:00:00,16.55756,V ugm-3
2020-01-08,09:00:00,29.51168,V ugm-3
2020-01-08,10:00:00,23.46558,V ugm-3
2020-01-08,11:00:00,21.78284,V ugm-3
2020-01-08,12:00:00,19.17373,V ugm-3
2020-01-08,13:00:00,16.13369,V ugm-3
2020-01-08,14:00:00,14.27645,V ugm-3
2020-01-08,15:00:00,28.44798,V ugm-3
2020-01-08,16:00:00,40.15128,V ugm-3
2020-01-08,17:00:00,42.27749,V ugm-3
2020-01-08,18:00:00,56.9444,V ugm-3
2020-01-08,19:00:00,57.68957,V ugm-3
2020-01-08,20:00:00,47.23345,V ugm-3
2020-01-08,21:00:00,53.60463,V ugm-3
2020-01-08,22:00:00,56.25527,V ugm-3
2020-01-08,23:00:00,30.97895,V ugm-3
2020-01-08,24:00:00,20.71237,V ugm-3
2020-01-09,01:00:00,13.24666,V ugm-3
2020-01-09,02:00:00,13.10245,V ugm-3
2020-01-09,03:00:00,15.54491,V ugm-3
2020-01-09,04:00:00,16.79586,V ugm-3
2020-01-09,05:00:00,20.156,V ugm-3
2020-01-09,06:00:00,16.79689,V ugm-3
2020-01-09,07:00:00,28.95416,V ugm-3
2020-01-09,08:00:00,15.91306,V ugm-3
2020-01-09,09:00:00,13.15876,V ugm-3
2020-01-09,10:00:00,9.69392,V ugm-3
2020-01-09,11:00:00,11.04912,V ugm-3
2020-01-09,12:00:00,9.47687,V ugm-3
2020-01-09,13:00:00,No data,V ugm-3
2020-01-09,14:00:00,16.6583,V ugm-3
2020-01-09,15:00:00,20.12557,V ugm-3
2020-01-09,16:00:00,21.73148,V ugm-3
2020-01-09,17:00:00,24.87635,V ugm-3
2020-01-09,18:00:00,29.81948,V ugm-3
2020-01-09,19:00:00,29.70095,V ugm-3
2020-01-09,20:00:00,30.05784,V ugm-3
2020-01-09,21:00:00,26.62873,V ugm-3
2020-01-09,22:00:00,23.87369,V ugm-3
2020-01-09,23:00:00,19.44502,V ugm-3
2020-01-09,24:00:00,12.36615,V ugm-3
2020-01-10,01:00:00,7.66756,V ugm-3
2020-01-10,02:00:00,7.71594,V ugm-3
2020-01-10,03:00:00,5.8221,V ugm-3
2020-01-10,04:00:00,5.39345,V ugm-3
2020-01-10,05:00:00,5.07179,V ugm-3
2020-01-10,06:00:00,7.39372,V ugm-3
2020-01-10,07:00:00,13.28853,V ugm-3
2020-01-10,08:00:00,22.78974,V ugm-3
2020-01-10,09:00:00,34.40321,V ugm-3
2020-01-10,10:00:00,41.78998,V ugm-3
2020-01-10,11:00:00,21.48116,V ugm-3
2020-01-10,12:00:00,31.45941,V ugm-3
2020-01-10,13:00:00,28.02547,V ugm-3
2020-01-10,14:00:00,31.81144,V ugm-3
2020-01-10,15:00:00,27.16973,V ugm-3
2020-01-10,16:00:00,39.53486,V ugm-3
2020-01-10,17:00:00,59.53384,V ugm-3
2020-01-10,18:00:00,44.14719,V ugm-3
2020-01-10,19:00:00,35.49026,V ugm-3
2020-01-10,20:00:00,24.83634,V ugm-3
2020-01-10,21:00:00,16.83047,V ugm-3
2020-01-10,22:00:00,17.33134,V ugm-3
2020-01-10,23:00:00,22.0943,V ugm-3
2020-01-10,24:00:00,18.44578,V ugm-3
2020-01-11,01:00:00,18.53288,V ugm-3
2020-01-11,02:00:00,15.10516,V ugm-3
2020-01-11,03:00:00,No data,V ugm-3
2020-01-11,04:00:00,No data,V ugm-3
2020-01-11,05:00:00,6.39232,V ugm-3
2020-01-11,06:00:00,4.96289,V ugm-3
2020-01-11,07:00:00,5.46266,V ugm-3
2020-01-11,08:00:00,7.3195,V ugm-3
2020-01-11,09:00:00,9.86078,V ugm-3
2020-01-11,10:00:00,9.99951,V ugm-3
2020-01-11,11:00:00,10.35739,V ugm-3
2020-01-11,12:00:00,8.17982,V ugm-3
2020-01-11,13:00:00,9.71682,V ugm-3
2020-01-11,14:00:00,10.10977,V ugm-3
2020-01-11,15:00:00,9.50353,V ugm-3
2020-01-11,16:00:00,10.28833,V ugm-3
2020-01-11,17:00:00,9.93087,V ugm-3
2020-01-11,18:00:00,9.50346,V ugm-3
2020-01-11,19:00:00,8.93168,V ugm-3
2020-01-11,20:00:00,9.71758,V ugm-3
2020-01-11,21:00:00,15.82225,V ugm-3
2020-01-11,22:00:00,23.07186,V ugm-3
2020-01-11,23:00:00,30.2518,V ugm-3
2020-01-11,24:00:00,48.5099,V ugm-3
2020-01-12,01:00:00,31.75556,V ugm-3
2020-01-12,02:00:00,50.23807,V ugm-3
2020-01-12,03:00:00,51.04383,V ugm-3
2020-01-12,04:00:00,50.97413,V ugm-3
2020-01-12,05:00:00,43.76028,V ugm-3
2020-01-12,06:00:00,10.88587,V ugm-3
2020-01-12,07:00:00,9.49294,V ugm-3
2020-01-12,08:00:00,12.56204,V ugm-3
2020-01-12,09:00:00,24.87266,V ugm-3
