year,n,mean_NO2,median_NO2,sd_NO2,p95_NO2
2018,8651,23.07948697722806,18.7313,14.898240926832965,53.537220000000005
2020,8723,17.81820287286484,13.65127,13.99057936390106,47.38404899999999
2023,8718,16.146638028217485,12.493455,11.89534661786613,40.89276699999998
