date,time,NO2,datetime,year,month
2018-01-01,01:00:00,13.1301,2018-01-01T01:00:00Z,2018,Jan
2018-01-01,02:00:00,14.9329,2018-01-01T02:00:00Z,2018,Jan
2018-01-01,03:00:00,14.09396,2018-01-01T03:00:00Z,2018,Jan
2018-01-01,04:00:00,18.43674,2018-01-01T04:00:00Z,2018,Jan
2018-01-01,05:00:00,12.38329,2018-01-01T05:00:00Z,2018,Jan
2018-01-01,06:00:00,7.71533,2018-01-01T06:00:00Z,2018,Jan
2018-01-01,07:00:00,10.26365,2018-01-01T07:00:00Z,2018,Jan
2018-01-01,08:00:00,10.71224,2018-01-01T08:00:00Z,2018,Jan
2018-01-01,09:00:00,11.57521,2018-01-01T09:00:00Z,2018,Jan
2018-01-01,10:00:00,7.58832,2018-01-01T10:00:00Z,2018,Jan
2018-01-01,11:00:00,7.93783,2018-01-01T11:00:00Z,2018,Jan
2018-01-01,12:00:00,13.40295,2018-01-01T12:00:00Z,2018,Jan
2018-01-01,13:00:00,17.54032,2018-01-01T13:00:00Z,2018,Jan
2018-01-01,14:00:00,14.05696,2018-01-01T14:00:00Z,2018,Jan
2018-01-01,15:00:00,14.64877,2018-01-01T15:00:00Z,2018,Jan
2018-01-01,16:00:00,14.55776,2018-01-01T16:00:00Z,2018,Jan
2018-01-01,17:00:00,10.84738,2018-01-01T17:00:00Z,2018,Jan
2018-01-01,18:00:00,9.00343,2018-01-01T18:00:00Z,2018,Jan
2018-01-01,19:00:00,7.91076,2018-01-01T19:00:00Z,2018,Jan
2018-01-01,20:00:00,7.9513,2018-01-01T20:00:00Z,2018,Jan
2018-01-01,21:00:00,5.74617,2018-01-01T21:00:00Z,2018,Jan
2018-01-01,22:00:00,5.25524,2018-01-01T22:00:00Z,2018,Jan
2018-01-01,23:00:00,5.31018,2018-01-01T23:00:00Z,2018,Jan
2018-01-01,24:00:00,4.87419,2018-01-02T00:00:00Z,2018,Jan
2018-01-02,01:00:00,4.6127,2018-01-02T01:00:00Z,2018,Jan
2018-01-02,02:00:00,5.7355,2018-01-02T02:00:00Z,2018,Jan
2018-01-02,03:00:00,4.52049,2018-01-02T03:00:00Z,2018,Jan
2018-01-02,04:00:00,4.82942,2018-01-02T04:00:00Z,2018,Jan
2018-01-02,05:00:00,5.27074,2018-01-02T05:00:00Z,2018,Jan
2018-01-02,06:00:00,6.49927,2018-01-02T06:00:00Z,2018,Jan
2018-01-02,07:00:00,16.55709,2018-01-02T07:00:00Z,2018,Jan
2018-01-02,08:00:00,29.87564,2018-01-02T08:00:00Z,2018,Jan
2018-01-02,09:00:00,21.91135,2018-01-02T09:00:00Z,2018,Jan
2018-01-02,10:00:00,19.93543,2018-01-02T10:00:00Z,2018,Jan
2018-01-02,11:00:00,27.57136,2018-01-02T11:00:00Z,2018,Jan
2018-01-02,12:00:00,41.05419,2018-01-02T12:00:00Z,2018,Jan
2018-01-02,13:00:00,37.85766,2018-01-02T13:00:00Z,2018,Jan
2018-01-02,14:00:00,29.02699,2018-01-02T14:00:00Z,2018,Jan
2018-01-02,15:00:00,45.43458,2018-01-02T15:00:00Z,2018,Jan
2018-01-02,16:00:00,66.98337,2018-01-02T16:00:00Z,2018,Jan
2018-01-02,17:00:00,57.05498,2018-01-02T17:00:00Z,2018,Jan
2018-01-02,18:00:00,17.17273,2018-01-02T18:00:00Z,2018,Jan
2018-01-02,19:00:00,16.54664,2018-01-02T19:00:00Z,2018,Jan
2018-01-02,20:00:00,17.69228,2018-01-02T20:00:00Z,2018,Jan
2018-01-02,21:00:00,16.51761,2018-01-02T21:00:00Z,2018,Jan
2018-01-02,22:00:00,10.00219,2018-01-02T22:00:00Z,2018,Jan
2018-01-02,23:00:00,6.02025,2018-01-02T23:00:00Z,2018,Jan
2018-01-02,24:00:00,5.46269,2018-01-03T00:00:00Z,2018,Jan
2018-01-03,01:00:00,3.72723,2018-01-03T01:00:00Z,2018,Jan
2018-01-03,02:00:00,6.17203,2018-01-03T02:00:00Z,2018,Jan
2018-01-03,03:00:00,3.68331,2018-01-03T03:00:00Z,2018,Jan
2018-01-03,04:00:00,3.25278,2018-01-03T04:00:00Z,2018,Jan
2018-01-03,05:00:00,2.96656,2018-01-03T05:00:00Z,2018,Jan
2018-01-03,06:00:00,4.0381,2018-01-03T06:00:00Z,2018,Jan
2018-01-03,07:00:00,5.66718,2018-01-03T07:00:00Z,2018,Jan
2018-01-03,08:00:00,8.06189,2018-01-03T08:00:00Z,2018,Jan
2018-01-03,09:00:00,11.03918,2018-01-03T09:00:00Z,2018,Jan
2018-01-03,10:00:00,12.76843,2018-01-03T10:00:00Z,2018,Jan
2018-01-03,11:00:00,9.8937,2018-01-03T11:00:00Z,2018,Jan
2018-01-03,12:00:00,9.70109,2018-01-03T12:00:00Z,2018,Jan
2018-01-03,13:00:00,9.66055,2018-01-03T13:00:00Z,2018,Jan
2018-01-03,14:00:00,9.77861,2018-01-03T14:00:00Z,2018,Jan
2018-01-03,15:00:00,10.99445,2018-01-03T15:00:00Z,2018,Jan
2018-01-03,16:00:00,9.43931,2018-01-03T16:00:00Z,2018,Jan
2018-01-03,17:00:00,12.04034,2018-01-03T17:00:00Z,2018,Jan
2018-01-03,18:00:00,13.80537,2018-01-03T18:00:00Z,2018,Jan
2018-01-03,19:00:00,15.08025,2018-01-03T19:00:00Z,2018,Jan
2018-01-03,20:00:00,11.81019,2018-01-03T20:00:00Z,2018,Jan
2018-01-03,21:00:00,9.394,2018-01-03T21:00:00Z,2018,Jan
2018-01-03,22:00:00,9.44529,2018-01-03T22:00:00Z,2018,Jan
2018-01-03,23:00:00,9.96406,2018-01-03T23:00:00Z,2018,Jan
2018-01-03,24:00:00,9.33019,2018-01-04T00:00:00Z,2018,Jan
2018-01-04,01:00:00,6.50524,2018-01-04T01:00:00Z,2018,Jan
2018-01-04,02:00:00,7.0139,2018-01-04T02:00:00Z,2018,Jan
2018-01-04,03:00:00,10.2031,2018-01-04T03:00:00Z,2018,Jan
2018-01-04,04:00:00,6.21857,2018-01-04T04:00:00Z,2018,Jan
2018-01-04,05:00:00,8.06088,2018-01-04T05:00:00Z,2018,Jan
2018-01-04,06:00:00,11.03602,2018-01-04T06:00:00Z,2018,Jan
2018-01-04,07:00:00,25.62823,2018-01-04T07:00:00Z,2018,Jan
2018-01-04,08:00:00,44.16002,2018-01-04T08:00:00Z,2018,Jan
2018-01-04,09:00:00,43.91707,2018-01-04T09:00:00Z,2018,Jan
2018-01-04,10:00:00,46.12671,2018-01-04T10:00:00Z,2018,Jan
2018-01-04,11:00:00,54.01315,2018-01-04T11:00:00Z,2018,Jan
2018-01-04,12:00:00,50.3887,2018-01-04T12:00:00Z,2018,Jan
2018-01-04,13:00:00,29.32249,2018-01-04T13:00:00Z,2018,Jan
2018-01-04,14:00:00,16.88237,2018-01-04T14:00:00Z,2018,Jan
2018-01-04,16:00:00,11.82077,2018-01-04T16:00:00Z,2018,Jan
2018-01-04,17:00:00,11.30918,2018-01-04T17:00:00Z,2018,Jan
2018-01-04,18:00:00,10.88226,2018-01-04T18:00:00Z,2018,Jan
2018-01-04,19:00:00,13.11319,2018-01-04T19:00:00Z,2018,Jan
2018-01-04,20:00:00,10.70803,2018-01-04T20:00:00Z,2018,Jan
2018-01-04,21:00:00,12.53607,2018-01-04T21:00:00Z,2018,Jan
2018-01-04,22:00:00,13.47103,2018-01-04T22:00:00Z,2018,Jan
2018-01-04,23:00:00,13.51158,2018-01-04T23:00:00Z,2018,Jan
2018-01-04,24:00:00,11.85062,2018-01-05T00:00:00Z,2018,Jan
2018-01-05,01:00:00,22.34688,2018-01-05T01:00:00Z,2018,Jan
2018-01-05,02:00:00,27.14481,2018-01-05T02:00:00Z,2018,Jan
2018-01-05,03:00:00,15.28446,2018-01-05T03:00:00Z,2018,Jan
2018-01-05,04:00:00,11.64511,2018-01-05T04:00:00Z,2018,Jan
2018-01-05,05:00:00,11.76001,2018-01-05T05:00:00Z,2018,Jan
2018-01-05,06:00:00,9.82082,2018-01-05T06:00:00Z,2018,Jan
2018-01-05,07:00:00,17.63345,2018-01-05T07:00:00Z,2018,Jan
2018-01-05,08:00:00,40.57187,2018-01-05T08:00:00Z,2018,Jan
2018-01-05,09:00:00,69.90473,2018-01-05T09:00:00Z,2018,Jan
2018-01-05,10:00:00,60.5304,2018-01-05T10:00:00Z,2018,Jan
2018-01-05,11:00:00,62.99497,2018-01-05T11:00:00Z,2018,Jan
2018-01-05,12:00:00,60.07277,2018-01-05T12:00:00Z,2018,Jan
2018-01-05,13:00:00,66.85969,2018-01-05T13:00:00Z,2018,Jan
2018-01-05,14:00:00,61.54957,2018-01-05T14:00:00Z,2018,Jan
2018-01-05,15:00:00,59.45671,2018-01-05T15:00:00Z,2018,Jan
2018-01-05,16:00:00,61.18524,2018-01-05T16:00:00Z,2018,Jan
2018-01-05,17:00:00,38.64758,2018-01-05T17:00:00Z,2018,Jan
2018-01-05,18:00:00,41.11045,2018-01-05T18:00:00Z,2018,Jan
2018-01-05,19:00:00,51.5159,2018-01-05T19:00:00Z,2018,Jan
2018-01-05,20:00:00,69.80761,2018-01-05T20:00:00Z,2018,Jan
2018-01-05,21:00:00,77.55529,2018-01-05T21:00:00Z,2018,Jan
2018-01-05,22:00:00,78.00399,2018-01-05T22:00:00Z,2018,Jan
