date,time,NO2,datetime,year,month
2023-01-01,01:00:00,18.88178,2023-01-01T01:00:00Z,2023,Jan
2023-01-01,02:00:00,10.68551,2023-01-01T02:00:00Z,2023,Jan
2023-01-01,03:00:00,9.56496,2023-01-01T03:00:00Z,2023,Jan
2023-01-01,04:00:00,6.72161,2023-01-01T04:00:00Z,2023,Jan
2023-01-01,05:00:00,5.63376,2023-01-01T05:00:00Z,2023,Jan
2023-01-01,06:00:00,4.18541,2023-01-01T06:00:00Z,2023,Jan
2023-01-01,07:00:00,3.56411,2023-01-01T07:00:00Z,2023,Jan
2023-01-01,08:00:00,3.77012,2023-01-01T08:00:00Z,2023,Jan
2023-01-01,09:00:00,3.92475,2023-01-01T09:00:00Z,2023,Jan
2023-01-01,10:00:00,4.44187,2023-01-01T10:00:00Z,2023,Jan
2023-01-01,11:00:00,5.99085,2023-01-01T11:00:00Z,2023,Jan
2023-01-01,12:00:00,8.67852,2023-01-01T12:00:00Z,2023,Jan
2023-01-01,13:00:00,6.71779,2023-01-01T13:00:00Z,2023,Jan
2023-01-01,14:00:00,8.2154,2023-01-01T14:00:00Z,2023,Jan
2023-01-01,15:00:00,9.24753,2023-01-01T15:00:00Z,2023,Jan
2023-01-01,16:00:00,11.88146,2023-01-01T16:00:00Z,2023,Jan
2023-01-01,17:00:00,11.00621,2023-01-01T17:00:00Z,2023,Jan
2023-01-01,18:00:00,14.46521,2023-01-01T18:00:00Z,2023,Jan
2023-01-01,19:00:00,16.94385,2023-01-01T19:00:00Z,2023,Jan
2023-01-01,20:00:00,15.85706,2023-01-01T20:00:00Z,2023,Jan
2023-01-01,21:00:00,27.84271,2023-01-01T21:00:00Z,2023,Jan
2023-01-01,22:00:00,32.45381,2023-01-01T22:00:00Z,2023,Jan
2023-01-01,23:00:00,13.84219,2023-01-01T23:00:00Z,2023,Jan
2023-01-01,24:00:00,12.13687,2023-01-02T00:00:00Z,2023,Jan
2023-01-02,01:00:00,10.33831,2023-01-02T01:00:00Z,2023,Jan
2023-01-02,02:00:00,9.99377,2023-01-02T02:00:00Z,2023,Jan
2023-01-02,03:00:00,8.1151,2023-01-02T03:00:00Z,2023,Jan
2023-01-02,04:00:00,7.28756,2023-01-02T04:00:00Z,2023,Jan
2023-01-02,05:00:00,6.56469,2023-01-02T05:00:00Z,2023,Jan
2023-01-02,06:00:00,5.8922,2023-01-02T06:00:00Z,2023,Jan
2023-01-02,07:00:00,6.56404,2023-01-02T07:00:00Z,2023,Jan
2023-01-02,08:00:00,7.23562,2023-01-02T08:00:00Z,2023,Jan
2023-01-02,09:00:00,9.51164,2023-01-02T09:00:00Z,2023,Jan
2023-01-02,10:00:00,10.08012,2023-01-02T10:00:00Z,2023,Jan
2023-01-02,11:00:00,10.75537,2023-01-02T11:00:00Z,2023,Jan
2023-01-02,12:00:00,9.98252,2023-01-02T12:00:00Z,2023,Jan
2023-01-02,13:00:00,10.13638,2023-01-02T13:00:00Z,2023,Jan
2023-01-02,14:00:00,10.81202,2023-01-02T14:00:00Z,2023,Jan
2023-01-02,15:00:00,16.13325,2023-01-02T15:00:00Z,2023,Jan
2023-01-02,16:00:00,14.48249,2023-01-02T16:00:00Z,2023,Jan
2023-01-02,17:00:00,45.51769,2023-01-02T17:00:00Z,2023,Jan
2023-01-02,18:00:00,66.02045,2023-01-02T18:00:00Z,2023,Jan
2023-01-02,19:00:00,59.83624,2023-01-02T19:00:00Z,2023,Jan
2023-01-02,20:00:00,41.69636,2023-01-02T20:00:00Z,2023,Jan
2023-01-02,21:00:00,41.97412,2023-01-02T21:00:00Z,2023,Jan
2023-01-02,22:00:00,35.1437,2023-01-02T22:00:00Z,2023,Jan
2023-01-02,23:00:00,28.0278,2023-01-02T23:00:00Z,2023,Jan
2023-01-02,24:00:00,22.39139,2023-01-03T00:00:00Z,2023,Jan
2023-01-03,01:00:00,16.7665,2023-01-03T01:00:00Z,2023,Jan
2023-01-03,02:00:00,17.79967,2023-01-03T02:00:00Z,2023,Jan
2023-01-03,03:00:00,22.0921,2023-01-03T03:00:00Z,2023,Jan
2023-01-03,04:00:00,34.30411,2023-01-03T04:00:00Z,2023,Jan
2023-01-03,05:00:00,30.16343,2023-01-03T05:00:00Z,2023,Jan
2023-01-03,06:00:00,21.004,2023-01-03T06:00:00Z,2023,Jan
2023-01-03,07:00:00,22.14539,2023-01-03T07:00:00Z,2023,Jan
2023-01-03,08:00:00,31.31015,2023-01-03T08:00:00Z,2023,Jan
2023-01-03,09:00:00,33.18223,2023-01-03T09:00:00Z,2023,Jan
2023-01-03,10:00:00,25.36655,2023-01-03T10:00:00Z,2023,Jan
2023-01-03,11:00:00,25.10258,2023-01-03T11:00:00Z,2023,Jan
2023-01-03,12:00:00,39.72449,2023-01-03T12:00:00Z,2023,Jan
2023-01-03,13:00:00,35.76861,2023-01-03T13:00:00Z,2023,Jan
2023-01-03,14:00:00,26.34808,2023-01-03T14:00:00Z,2023,Jan
2023-01-03,15:00:00,23.13602,2023-01-03T15:00:00Z,2023,Jan
2023-01-03,16:00:00,19.87445,2023-01-03T16:00:00Z,2023,Jan
2023-01-03,17:00:00,14.75225,2023-01-03T17:00:00Z,2023,Jan
2023-01-03,18:00:00,14.38899,2023-01-03T18:00:00Z,2023,Jan
2023-01-03,19:00:00,11.48964,2023-01-03T19:00:00Z,2023,Jan
2023-01-03,20:00:00,11.90346,2023-01-03T20:00:00Z,2023,Jan
2023-01-03,21:00:00,8.0222,2023-01-03T21:00:00Z,2023,Jan
2023-01-03,22:00:00,6.57253,2023-01-03T22:00:00Z,2023,Jan
2023-01-03,23:00:00,4.14107,2023-01-03T23:00:00Z,2023,Jan
2023-01-03,24:00:00,3.51943,2023-01-04T00:00:00Z,2023,Jan
2023-01-04,01:00:00,3.45391,2023-01-04T01:00:00Z,2023,Jan
2023-01-04,02:00:00,4.14424,2023-01-04T02:00:00Z,2023,Jan
2023-01-04,03:00:00,3.3668,2023-01-04T03:00:00Z,2023,Jan
2023-01-04,04:00:00,3.31515,2023-01-04T04:00:00Z,2023,Jan
2023-01-04,05:00:00,3.10702,2023-01-04T05:00:00Z,2023,Jan
2023-01-04,06:00:00,3.52122,2023-01-04T06:00:00Z,2023,Jan
2023-01-04,07:00:00,5.4378,2023-01-04T07:00:00Z,2023,Jan
2023-01-04,08:00:00,6.32017,2023-01-04T08:00:00Z,2023,Jan
2023-01-04,09:00:00,5.64697,2023-01-04T09:00:00Z,2023,Jan
2023-01-04,10:00:00,5.59532,2023-01-04T10:00:00Z,2023,Jan
2023-01-04,11:00:00,5.80333,2023-01-04T11:00:00Z,2023,Jan
2023-01-04,14:00:00,5.39003,2023-01-04T14:00:00Z,2023,Jan
2023-01-04,15:00:00,5.80488,2023-01-04T15:00:00Z,2023,Jan
2023-01-04,16:00:00,8.28995,2023-01-04T16:00:00Z,2023,Jan
2023-01-04,17:00:00,9.68839,2023-01-04T17:00:00Z,2023,Jan
2023-01-04,18:00:00,9.48258,2023-01-04T18:00:00Z,2023,Jan
2023-01-04,19:00:00,7.51216,2023-01-04T19:00:00Z,2023,Jan
2023-01-04,20:00:00,6.73553,2023-01-04T20:00:00Z,2023,Jan
2023-01-04,21:00:00,5.75026,2023-01-04T21:00:00Z,2023,Jan
2023-01-04,22:00:00,4.71437,2023-01-04T22:00:00Z,2023,Jan
2023-01-04,23:00:00,7.25458,2023-01-04T23:00:00Z,2023,Jan
2023-01-04,24:00:00,5.49112,2023-01-05T00:00:00Z,2023,Jan
2023-01-05,01:00:00,4.76903,2023-01-05T01:00:00Z,2023,Jan
2023-01-05,02:00:00,5.80565,2023-01-05T02:00:00Z,2023,Jan
2023-01-05,03:00:00,5.08091,2023-01-05T03:00:00Z,2023,Jan
2023-01-05,04:00:00,3.99148,2023-01-05T04:00:00Z,2023,Jan
2023-01-05,05:00:00,4.87195,2023-01-05T05:00:00Z,2023,Jan
2023-01-05,06:00:00,8.34688,2023-01-05T06:00:00Z,2023,Jan
2023-01-05,07:00:00,11.04216,2023-01-05T07:00:00Z,2023,Jan
2023-01-05,08:00:00,17.2656,2023-01-05T08:00:00Z,2023,Jan
2023-01-05,09:00:00,29.8722,2023-01-05T09:00:00Z,2023,Jan
2023-01-05,10:00:00,30.23521,2023-01-05T10:00:00Z,2023,Jan
2023-01-05,11:00:00,28.32138,2023-01-05T11:00:00Z,2023,Jan
2023-01-05,12:00:00,24.95087,2023-01-05T12:00:00Z,2023,Jan
2023-01-05,13:00:00,26.34429,2023-01-05T13:00:00Z,2023,Jan
2023-01-05,14:00:00,32.8815,2023-01-05T14:00:00Z,2023,Jan
2023-01-05,15:00:00,27.23003,2023-01-05T15:00:00Z,2023,Jan
2023-01-05,16:00:00,22.29546,2023-01-05T16:00:00Z,2023,Jan
2023-01-05,17:00:00,18.09746,2023-01-05T17:00:00Z,2023,Jan
2023-01-05,18:00:00,13.122,2023-01-05T18:00:00Z,2023,Jan
2023-01-05,19:00:00,12.03051,2023-01-05T19:00:00Z,2023,Jan
2023-01-05,20:00:00,10.21428,2023-01-05T20:00:00Z,2023,Jan
2023-01-05,21:00:00,7.41523,2023-01-05T21:00:00Z,2023,Jan
2023-01-05,22:00:00,6.37981,2023-01-05T22:00:00Z,2023,Jan
2023-01-05,23:00:00,5.34041,2023-01-05T23:00:00Z,2023,Jan
2023-01-05,24:00:00,5.23625,2023-01-06T00:00:00Z,2023,Jan
2023-01-06,01:00:00,4.70542,2023-01-06T01:00:00Z,2023,Jan
2023-01-06,02:00:00,6.64325,2023-01-06T02:00:00Z,2023,Jan
2023-01-06,03:00:00,4.41315,2023-01-06T03:00:00Z,2023,Jan
2023-01-06,04:00:00,2.75012,2023-01-06T04:00:00Z,2023,Jan
2023-01-06,05:00:00,2.43788,2023-01-06T05:00:00Z,2023,Jan
2023-01-06,06:00:00,3.06045,2023-01-06T06:00:00Z,2023,Jan
2023-01-06,07:00:00,5.39574,2023-01-06T07:00:00Z,2023,Jan
2023-01-06,08:00:00,16.8154,2023-01-06T08:00:00Z,2023,Jan
